CGC_HOSP,RAZAO,UF_ZI,CMPT
00697295007614,SES UNIDADE HOSPITALAR DE ITAPEACU,13,201411
00697295007703,HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA OESTE,13,201505
00697295007967,MATERNIDADE DE REFERENCIA ZONA LESTE ANA BRAGA,13,201505
00697295009072,SECRETARIA DE ESTADO DA SAUDE,13,201505
00697295009900,MATERNIDADE AZILDA DA SILVA MERREIRO,13,201505
00697295012022,SECRETARIA DE ESTADO DA SAUDE,13,201505
00697295012294,SECRETARIA DE ESTADO DA SAUDE,13,201505
00698882000100,ASSOCIACAO INSTITUTO CHUI DE PSIQUIATRIA,35,201502
00765384000133,FUNDACAO HOSPITALAR OFTALMOLOGICA UNIVERSITARIA LIONS,43,201505
00779260000107,ORGANIZACAO HOSPITALAR IRMAOS BAIA LTDA,27,200801
00814030000131,LUZ SANTOS LTDA,22,201504
00820737000150,HOSPITAL DO CORACAO DE NATAL LTDA,24,201505
00830507000172,HOSPITAL INFANTIL 21 DE JULHO LTDA,33,201505
00853492000168,CLINICA DOM RODRIGO LTDA,25,201505
00860223000129,HOSPITAL MATERMED LTDA,31,201505
00867838000187,M A R LIMA,51,200812
00873794000106,R G DE LIMA MEDEIROS CIA LTDA,51,201505
00894710000102,HOSPITAL PANAMERICANO LTDA,11,201505
00919386000130,HOSPITAL 9 DE JULHO S S LTDA,11,201305
00923986000171,HOSPITAL DA MULHER DE CALDAS NOVAS,52,201503
00939414000180,PRONTOCLINICA DE FORTALEZA LTDA,23,201505
00942020000181,FUNDACAO DE SAUDE DE CEU AZUL,41,201505
00942063000167,INSTITUTO DE NEUROLOGIA DE CURITIBA LTDA,41,201505
00944230000109,FUNDACAO DE SAUDE E ASSISTENCIA SOCIAL DE PRES BERNARDES,31,200801
00961315000103,FUNDACAO CRISTIANO VARELLA,31,201505
00972860000197,HOSPITAL DE OLHOS DE CARUARU SC LTDA,26,201409
00979701000114,CENTRO DE ONCOLOGIA E HEMATOLOGIA,24,201505
00991591000106,FUNDACAO DE SAUDE DILSON DE QUADROS GODINHO,31,201505
00998201000120,PREFEITURA MUNICIPAL DE OURO BRANCO,31,201504
01003183000161,CLINICA SANTA MARIA HOSPITAL E MATERNIDADE LTDA ME,26,201207
01011865000116,INSTITUTO DE NEUROLOGIA DE GOIANIA LTDA,52,201505
01016591000158,HOSPITAL SAO ZACARIAS LTDA,52,201505
01023324000108,HOSPITAL NOSSA SENHORA APARECIDA LTDA,52,201505
01025220000132,BONFIM OSCAR LTDA,52,200801
01026636000175,MAGALY ANTONIETA CLAROS CANCECO,51,200801
01029180000105,SANATORIO ESPIRITA DE ANAPOLIS,52,201505
